2023-06-01 20:32:02,185 Namespace(cfg='experiments/toronto/face_alignment_toronto_hrnet_w18.yaml', model_file='HR18-300W.pth')
2023-06-01 20:32:02,185 {'AUTO_RESUME': False,
 'CUDNN': CfgNode({'BENCHMARK': True, 'DETERMINISTIC': False, 'ENABLED': True}),
 'DATASET': {'DATASET': 'TORONTO',
             'FLIP': True,
             'ROOT': './data/toronto/images',
             'ROT_FACTOR': 30,
             'SCALE_FACTOR': 0.25,
             'TESTSET': './data/toronto/face_landmarks_neuro_test.csv',
             'TRAINSET': './data/toronto/face_landmarks_neuro_train.csv'},
 'GPUS': (0,),
 'LOG_DIR': 'log',
 'MODEL': {'EXTRA': {'FINAL_CONV_KERNEL': 1,
                     'PRETRAINED_LAYERS': ['*'],
                     'STAGE2': {'BLOCK': 'BASIC',
                                'FUSE_METHOD': 'SUM',
                                'NUM_BLOCKS': [4, 4],
                                'NUM_BRANCHES': 2,
                                'NUM_CHANNELS': [18, 36],
                                'NUM_MODULES': 1},
                     'STAGE3': {'BLOCK': 'BASIC',
                                'FUSE_METHOD': 'SUM',
                                'NUM_BLOCKS': [4, 4, 4],
                                'NUM_BRANCHES': 3,
                                'NUM_CHANNELS': [18, 36, 72],
                                'NUM_MODULES': 4},
                     'STAGE4': {'BLOCK': 'BASIC',
                                'FUSE_METHOD': 'SUM',
                                'NUM_BLOCKS': [4, 4, 4, 4],
                                'NUM_BRANCHES': 4,
                                'NUM_CHANNELS': [18, 36, 72, 144],
                                'NUM_MODULES': 3},
                     'STEM_INPLANES': 64,
                     'WITH_HEAD': True},
           'HEATMAP_SIZE': [64, 64],
           'IMAGE_SIZE': [256, 256],
           'INIT_WEIGHTS': True,
           'NAME': 'hrnet',
           'NUM_JOINTS': 68,
           'PRETRAINED': './HR18-300W.pth',
           'SIGMA': 1.0,
           'TARGET_TYPE': 'Gaussian'},
 'OUTPUT_DIR': 'output',
 'PIN_MEMORY': True,
 'PRINT_FREQ': 50,
 'TEST': CfgNode({'BATCH_SIZE_PER_GPU': 8}),
 'TRAIN': {'BATCH_SIZE_PER_GPU': 16,
           'BEGIN_EPOCH': 0,
           'CHECKPOINT': '',
           'END_EPOCH': 60,
           'LR': 0.0001,
           'LR_FACTOR': 0.1,
           'LR_STEP': [30, 50],
           'MOMENTUM': 0.0,
           'NESTEROV': False,
           'OPTIMIZER': 'adam',
           'RESUME': True,
           'SHUFFLE': True,
           'WD': 0.0},
 'WORKERS': 1}
2023-06-01 20:32:02,324 => init weights from normal distribution
2023-06-01 20:32:04,940 => loading pretrained model ./HR18-300W.pth
2023-06-01 20:32:08,805 Epoch: [0][0/146]	Time 2.948s (2.948s)	Speed 5.4 samples/s	Data 1.367s (1.367s)	Loss 0.00068 (0.00068)	
2023-06-01 20:32:52,119 Epoch: [0][50/146]	Time 0.770s (0.907s)	Speed 20.8 samples/s	Data 0.324s (0.444s)	Loss 0.00042 (0.00051)	
2023-06-01 20:33:37,861 Epoch: [0][100/146]	Time 0.609s (0.911s)	Speed 26.3 samples/s	Data 0.167s (0.452s)	Loss 0.00037 (0.00046)	
2023-06-01 20:34:18,732 Train Epoch 0 time:0.9096 loss:0.0004 nme:0.1157
2023-06-01 20:34:30,948 Test Epoch 0 time:0.1686 loss:0.0003 nme:0.0374 [008]:0.0052 [010]:0.0000
2023-06-01 20:34:30,951 => saving checkpoint to output/TORONTO/face_alignment_toronto_hrnet_w18/ProvaConPesi
2023-06-01 20:34:33,129 Epoch: [1][0/146]	Time 1.627s (1.627s)	Speed 9.8 samples/s	Data 1.143s (1.143s)	Loss 0.00031 (0.00031)	
2023-06-01 20:35:20,500 Epoch: [1][50/146]	Time 1.060s (0.961s)	Speed 15.1 samples/s	Data 0.617s (0.496s)	Loss 0.00035 (0.00035)	
2023-06-01 20:36:07,125 Epoch: [1][100/146]	Time 0.856s (0.947s)	Speed 18.7 samples/s	Data 0.418s (0.489s)	Loss 0.00031 (0.00034)	
2023-06-01 20:36:49,459 Train Epoch 1 time:0.9444 loss:0.0003 nme:0.1106
2023-06-01 20:37:01,471 Test Epoch 1 time:0.1658 loss:0.0003 nme:0.0324 [008]:0.0000 [010]:0.0000
2023-06-01 20:37:01,475 => saving checkpoint to output/TORONTO/face_alignment_toronto_hrnet_w18/ProvaConPesi
2023-06-01 20:37:04,058 Epoch: [2][0/146]	Time 1.794s (1.794s)	Speed 8.9 samples/s	Data 1.304s (1.304s)	Loss 0.00033 (0.00033)	
2023-06-01 20:37:51,470 Epoch: [2][50/146]	Time 0.898s (0.965s)	Speed 17.8 samples/s	Data 0.454s (0.504s)	Loss 0.00033 (0.00031)	
2023-06-01 20:38:39,011 Epoch: [2][100/146]	Time 0.823s (0.958s)	Speed 19.4 samples/s	Data 0.377s (0.500s)	Loss 0.00029 (0.00031)	
2023-06-01 20:39:20,851 Train Epoch 2 time:0.9488 loss:0.0003 nme:0.1101
2023-06-01 20:39:32,770 Test Epoch 2 time:0.1644 loss:0.0003 nme:0.0332 [008]:0.0000 [010]:0.0000
2023-06-01 20:39:32,775 => saving checkpoint to output/TORONTO/face_alignment_toronto_hrnet_w18/ProvaConPesi
2023-06-01 20:39:35,079 Epoch: [3][0/146]	Time 1.935s (1.935s)	Speed 8.3 samples/s	Data 1.461s (1.461s)	Loss 0.00029 (0.00029)	
2023-06-01 20:40:22,987 Epoch: [3][50/146]	Time 0.873s (0.977s)	Speed 18.3 samples/s	Data 0.428s (0.519s)	Loss 0.00027 (0.00030)	
2023-06-01 20:41:08,276 Epoch: [3][100/146]	Time 1.000s (0.942s)	Speed 16.0 samples/s	Data 0.552s (0.485s)	Loss 0.00026 (0.00029)	
2023-06-01 20:41:49,049 Train Epoch 3 time:0.9304 loss:0.0003 nme:0.1062
2023-06-01 20:42:02,257 Test Epoch 3 time:0.1824 loss:0.0003 nme:0.0324 [008]:0.0000 [010]:0.0000
2023-06-01 20:42:02,261 => saving checkpoint to output/TORONTO/face_alignment_toronto_hrnet_w18/ProvaConPesi
2023-06-01 20:42:04,705 Epoch: [4][0/146]	Time 1.652s (1.652s)	Speed 9.7 samples/s	Data 1.182s (1.182s)	Loss 0.00028 (0.00028)	
